pH,temperature,sulfate,id,log,normalise,elevate
5.93,47.8,210,313,2.322219295,0.525685663,121
2.9,30.8,210,644,2.322219295,0.525685663,121
5.89,49.1,213,314,2.328379603,0.527821746,120
6.07,48.8,216,397,2.334453751,0.529927953,120
3.55,43.3,217,530,2.336459734,0.530623526,120
5.83,56.1,218,533,2.338456494,0.531315901,120
5.81,86.9,219,388,2.340444115,0.532005107,119
3.69,20,222,340,2.346352974,0.534054001,119
3.23,39,227,467,2.356025857,0.537408067,118
2.89,85.5,242,334,2.383815366,0.547044061,116
4.26,79.4,246,348,2.390935107,0.549512827,115
2.75,25.9,246,657,2.390935107,0.549512827,115
3.37,46.6,251,491,2.399673721,0.552542935,114
5.38,89.5,254,525,2.404833717,0.55433216,114
5.12,74.8,260,523,2.414973348,0.557848071,113
5.47,76.9,263,629,2.419955748,0.559575715,112
5.06,66,265,524,2.423245874,0.560716564,112
3.27,40.8,266,335,2.424881637,0.561283764,112
3.86,49,271,583,2.432969291,0.564088153,111
3.29,42.5,272,468,2.434568904,0.564642818,111
3,55.2,279,393,2.445604203,0.568469301,110
2.98,56.6,282,394,2.450249108,0.570079918,110
5.03,70,283,628,2.451786436,0.570612986,109
3.25,37.1,284,492,2.45331834,0.571144173,109
3.28,24.2,292,598,2.465382851,0.575327534,108
2.59,30.8,307,617,2.487138375,0.582871248,106
2.87,27.7,310,536,2.491361694,0.584335681,106
3.27,88.9,322,522,2.507855872,0.590055027,105
4.5,81.5,338,364,2.5289167,0.597357856,103
2.42,55.1,341,390,2.532754379,0.598688568,102
2.74,25.8,347,661,2.540329475,0.601315228,102
6.06,68.8,352,649,2.546542663,0.603469647,101
3,37.9,355,534,2.550228353,0.604747657,101
2.55,69.1,357,395,2.552668216,0.605593678,101
4.48,78.5,358,372,2.553883027,0.606014913,100
2.49,50.2,358,408,2.553883027,0.606014913,100
2.67,34.2,363,674,2.559906625,0.608103592,100
3.03,95.3,366,365,2.563481085,0.609343034,100
2.96,83.1,371,367,2.56937391,0.611386367,99
2.44,41,376,324,2.575187845,0.613402345,99
2.87,36.6,376,640,2.575187845,0.613402345,99
3.78,36,386,462,2.586587305,0.617355101,98
2.85,57.2,390,496,2.591064607,0.618907602,97
2.7,82.4,397,353,2.598790507,0.621586553,96
4.03,46.6,403,459,2.605305046,0.623845465,96
3,57,406,461,2.608526034,0.624962341,96
2.87,38.5,410,659,2.612783857,0.626438738,95
2.39,21.9,425,347,2.62838893,0.631849787,94
3.1,68,425,371,2.62838893,0.631849787,94
2.53,27.8,436,591,2.639486489,0.635697859,93
2.4,27.4,452,601,2.655138435,0.641125161,92
2.59,41.1,455,527,2.658011397,0.642121359,91
2.59,41.3,458,528,2.660865478,0.64311101,91
3.85,64.2,462,513,2.664641976,0.644420508,91
2.34,36.6,463,366,2.665580991,0.644746111,91
2.89,81,466,430,2.668385917,0.645718717,90
2.33,26.1,466,354,2.668385917,0.645718717,90
3.35,95.4,468,615,2.670245853,0.646363649,90
5.28,54.8,469,497,2.671172843,0.646685082,90
5.25,56.5,473,498,2.674861141,0.647963997,90
6.47,60.4,478,645,2.679427897,0.649547516,89
2.39,28.5,485,600,2.685741739,0.651736837,89
2.45,27.4,487,602,2.687528961,0.652356555,89
3.66,65.1,496,500,2.695481676,0.655114154,88
2.41,48.8,512,369,2.709269961,0.659895233,87
2.28,29.2,518,363,2.71432976,0.661649715,86
2.6,66.1,518,599,2.71432976,0.661649715,86
2.4,40.8,526,597,2.720985744,0.663957673,86
5.68,61.4,531,506,2.725094521,0.665382389,85
2.61,89.3,545,349,2.736396502,0.669301344,84
2.36,36.1,565,531,2.752048448,0.674728646,83
2.29,29.3,570,370,2.755874856,0.67605545,83
2.69,83,582,368,2.764922985,0.679192883,82
2.56,25.7,588,613,2.769377326,0.680737423,81
2.51,60.5,592,350,2.772321707,0.681758385,81
2.34,27.8,602,588,2.779596491,0.684280912,81
2.4,63.9,606,432,2.782472624,0.68527821,80
2.49,57.3,626,351,2.796574333,0.690167968,79
2.51,43.3,628,512,2.797959644,0.690648324,79
2.33,24,685,537,2.835690571,0.703731499,76
2.47,74,692,406,2.840106094,0.705262578,75
3.81,76.6,695,507,2.841984805,0.70591402,75
2.22,74.6,700,499,2.84509804,0.706993532,75
2.42,90.7,702,431,2.846337112,0.70742318,75
2.46,85.9,747,407,2.873320602,0.716779688,72
2.46,93.2,749,405,2.874481818,0.717182338,72
2.46,45.8,772,614,2.8876173,0.721737059,71
2.37,28.1,773,529,2.888179494,0.721931999,71
2.49,54.4,780,624,2.892094603,0.72328956,71
2.4,58.9,794,620,2.899820502,0.725968511,70
2.6,31.1,799,660,2.902546779,0.726913846,70
2.5,45.2,801,622,2.903632516,0.727290324,70
2.28,63.3,808,627,2.907411361,0.728600636,69
2.12,25.5,809,429,2.907948522,0.728786897,69
5.68,64.3,819,508,2.913283902,0.730636936,69
1.99,30.2,822,465,2.914871818,0.731187545,69
2.17,75.2,822,589,2.914871818,0.731187545,69
2.14,33.4,826,427,2.916980047,0.731918572,68
2.35,30.8,832,460,2.920123326,0.733008502,68
2.53,73,834,621,2.921166051,0.733370066,68
2.3,93.2,846,539,2.927370363,0.735521408,67
2.23,30.9,862,538,2.935507266,0.738342874,67
2.13,74.1,869,526,2.939019776,0.739560834,66
2,66.8,875,673,2.942008053,0.740597017,66
2.09,62.4,880,464,2.944482672,0.74145509,66
4.78,48.8,881,609,2.944975908,0.741626119,66
3.71,63.1,904,509,2.95616843,0.745507119,65
2.29,79.9,908,426,2.958085849,0.746171983,65
2.24,30.6,944,541,2.974971994,0.752027243,63
5.44,51.2,952,518,2.978636948,0.753298063,63
2.52,65.1,968,625,2.985875357,0.755807977,62
6.05,86.8,985,647,2.99343623,0.758429705,62
3.05,56.8,1010,435,3.004321374,0.762204121,61
4.7,57.4,1013,626,3.005609445,0.762650759,61
2.04,34.1,1015,463,3.006466042,0.762947784,60
2.13,85.2,1063,428,3.026533265,0.76990608,59
2.21,27,1066,540,3.027757205,0.770330481,59
2.2,25.8,1071,543,3.029789471,0.771035168,58
6.26,47.3,1109,646,3.044931546,0.776285673,57
2.76,36.2,1180,519,3.071882007,0.785630728,55
1.96,33.2,1182,466,3.072617477,0.785885751,55
2.33,54.7,1231,603,3.090258053,0.79200261,53
2.06,63,1260,352,3.100370545,0.79550911,52
2.09,24.3,1289,594,3.110252917,0.798935816,51
1.87,29.3,1299,344,3.113609151,0.800099588,51
1.94,71.9,1330,336,3.123851641,0.803651165,50
2.06,74.4,1363,595,3.134495856,0.80734204,49
2.1,73.2,1385,516,3.141449773,0.809753306,49
1.89,59.3,1391,511,3.14332713,0.810404278,48
1.99,69,1393,610,3.143951116,0.810620645,48
2.04,45.8,1420,542,3.152288344,0.813511574,48
2.04,54.9,1436,585,3.15715444,0.815198889,47
2.04,48.4,1463,587,3.165244326,0.818004052,46
2.08,48.7,1472,584,3.16790781,0.818927613,46
1.96,62.5,1522,592,3.182414652,0.823957852,45
1.95,67.1,1536,346,3.186391216,0.825336722,45
1.9,67.5,1554,400,3.191451014,0.827091204,44
1.93,44.9,1560,342,3.193124598,0.827671518,44
1.93,58.4,1569,343,3.195622944,0.828537818,44
1.91,66.5,1583,399,3.199480915,0.829875567,43
1.93,63.6,1584,398,3.199755177,0.829970667,43
1.95,64.6,1593,345,3.202215776,0.830823878,43
5.93,80.6,1596,515,3.203032887,0.831107211,43
1.89,47.9,1610,402,3.206825876,0.832422428,43
1.89,49.7,1630,401,3.212187604,0.834281604,42
1.85,38.5,1641,403,3.215108581,0.83529445,42
1.7,73.4,1708,495,3.232487866,0.841320706,40
1.93,22.9,1726,596,3.237040791,0.84289943,40
1.68,82.3,1779,494,3.250175948,0.847454037,39
1.94,39.8,1821,586,3.260309946,0.850967995,38
1.72,65.9,1826,606,3.261500773,0.851380913,38
1.75,46,1867,510,3.271144318,0.854724806,37
1.71,31.4,1938,604,3.287353773,0.860345424,36
1.72,60,1947,605,3.289365952,0.861043146,35
1.64,95.8,2132,514,3.3287872,0.874712439,32
1.69,33.5,2160,404,3.334453751,0.876677312,31
1.57,88.4,2418,493,3.383456297,0.893668913,27
1.89,36.8,2825,607,3.451018452,0.917096047,21
1.69,34.8,3061,608,3.48586333,0.929178486,18
1.48,27,3563,623,3.551815822,0.95204747,12
1.78,48,3775,590,3.576916956,0.960751272,10
1.7,49.2,3904,675,3.591509809,0.965811335,9
1.7,74.8,3933,677,3.594723946,0.966925835,8
1.68,60.2,4068,678,3.609380944,0.97200814,7
1.43,94.5,4126,611,3.615529224,0.974140051,7
1.37,59.5,4899,676,3.690107439,1,1
